Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,0
25730,602.505,220.8064387,149.0596422,1.481329456,0.737754346,26113,180.9984903,0.797013908,0.985332976,0.890693616,0.819715636,0.008581673,0.002390037,0.671933724,0.995355217,3
35067,694.734,257.3896686,174.2525592,1.477106963,0.735983897,35476,211.3023689,0.694657396,0.988471079,0.913001246,0.820943475,0.00733994,0.002056484,0.673948189,0.995493563,3
37943,725.296,272.4195768,177.7357646,1.532722338,0.757845642,38424,219.7965606,0.777903067,0.987481782,0.906381359,0.806831004,0.007179706,0.001876795,0.650976269,0.997765869,3
34243,676.392,248.6549214,175.8971686,1.413637999,0.706818765,34555,208.8050328,0.823426153,0.990970916,0.940556188,0.839738187,0.007261482,0.00222731,0.705160222,0.996841285,3
29850,632.695,225.9155814,168.5936421,1.340000599,0.665645243,30231,194.95179,0.747801689,0.987397043,0.937055674,0.862940877,0.007568361,0.002588843,0.744666957,0.997854169,3
31725,658.802,235.0157365,172.7741731,1.360248076,0.677893611,32092,200.9814035,0.773893741,0.988564128,0.918547621,0.855182749,0.007407903,0.002444054,0.731337534,0.994800473,3
31242,656.919,248.6522245,160.8588295,1.545779149,0.762555377,31627,199.4456063,0.737709563,0.987826857,0.909756246,0.802106664,0.007958909,0.002032178,0.6433751,0.994515815,3
33323,666.635,238.2342886,178.4807274,1.334789991,0.662364736,33687,205.9809733,0.769300028,0.989194645,0.942275142,0.864615142,0.007149245,0.002464514,0.747559344,0.99783473,3
33250,670.611,245.8324785,172.6497789,1.423879486,0.711874568,33588,205.7552305,0.81567069,0.989936882,0.929095096,0.83697334,0.007393458,0.002238071,0.700524371,0.997462281,3
37946,738.476,264.9601146,182.5882627,1.45113443,0.724651016,38540,219.8052496,0.759223689,0.984587442,0.874385798,0.829578633,0.006982557,0.002039973,0.688200708,0.998671742,3
28090,618.098,229.0966014,156.557486,1.46333853,0.730073274,28402,189.1171563,0.759332847,0.989014858,0.923946717,0.825490885,0.008155806,0.002336124,0.681435202,0.997170386,3
27426,618.587,228.3237121,153.6259714,1.486231201,0.739785464,27822,186.8685842,0.704748689,0.985766659,0.900680496,0.818437045,0.008325082,0.002304143,0.669839196,0.995535914,3
31768,666.528,247.9793566,164.2668421,1.509612978,0.749131389,32247,201.1175623,0.719481814,0.985145905,0.898592815,0.811025422,0.007805948,0.002083259,0.657762235,0.992966406,3
38622,742.379,283.1655151,174.3847613,1.623797361,0.787870937,39112,221.7544987,0.785958486,0.987471876,0.880629575,0.783126782,0.007331715,0.001701037,0.613287557,0.995854717,3
32682,670.794,252.3898426,164.9950037,1.529681729,0.756727225,33036,203.9902321,0.771074673,0.989284417,0.91272543,0.808234713,0.007722595,0.002032792,0.653243352,0.99925442,3
41657,745.22,259.4401353,205.0985657,1.264953435,0.612406621,42101,230.3027132,0.748082967,0.989453932,0.942603072,0.887691155,0.006228008,0.002385484,0.787995586,0.996777723,3
26603,600.076,218.0865189,155.8256592,1.399554605,0.699622135,26945,184.0434503,0.787303936,0.987307478,0.928384676,0.843901087,0.008197817,0.002564745,0.712169044,0.996719466,3
37278,737.864,281.7473468,168.8338586,1.668784622,0.800570556,37788,217.8619374,0.773434582,0.986503652,0.860418668,0.773252845,0.007558006,0.00166676,0.597919962,0.997799637,3
33782,678.193,256.8022247,167.7475339,1.530885246,0.757170905,34116,207.3947403,0.725511672,0.990209872,0.922972191,0.807604921,0.007601747,0.001994752,0.652225708,0.998482713,3
30501,651.07,244.9141178,158.9151774,1.541162536,0.760907107,30878,197.0661801,0.760092703,0.98779066,0.904208475,0.804633812,0.008029708,0.002076216,0.647435571,0.997803446,3
31601,666.526,254.7055794,158.5586143,1.606381214,0.782606086,31971,200.5882421,0.789748588,0.988427012,0.8938744,0.787529832,0.008060048,0.00191243,0.620203236,0.996282827,3
35195,695.057,253.5426002,177.4739262,1.428618872,0.714165628,35593,211.6876609,0.704181673,0.988818026,0.915482381,0.8349195,0.007203938,0.002159375,0.697090571,0.995876745,3
39411,752.423,283.4832967,177.5984473,1.596203689,0.779432303,39897,224.0081331,0.711210163,0.987818633,0.874788759,0.790198702,0.007192999,0.001729956,0.624413989,0.996691913,3
29930,640.443,235.2698504,162.3481434,1.449168716,0.723760957,30245,195.2128571,0.780321201,0.989585055,0.916971029,0.829740219,0.00786067,0.002298306,0.68846883,0.99770749,3
35489,702.532,267.2950921,169.7669948,1.574482086,0.77240568,35815,212.5699842,0.686095967,0.990897669,0.903589976,0.795263327,0.007531773,0.001858321,0.632443759,0.99577137,3
37149,713.446,266.1961182,177.8854551,1.49644679,0.743937124,37584,217.4846566,0.770246734,0.988425926,0.917138188,0.817009121,0.007165633,0.001969436,0.667503904,0.998884074,3
24277,582.828,220.2652552,141.9059831,1.552191461,0.764814616,24743,175.8136412,0.686760962,0.98116639,0.898098698,0.798190532,0.009073001,0.002271732,0.637108125,0.988913791,3
23459,556.684,200.2933849,149.2299734,1.342179325,0.667000884,23690,172.8262899,0.757719638,0.99024905,0.951265795,0.862865691,0.008538019,0.002919508,0.7445372,0.999302436,3
29336,640.593,242.9514106,154.2343178,1.575209811,0.772646859,29693,193.2660221,0.722099148,0.987976964,0.898351679,0.795492488,0.008281682,0.002045703,0.632808298,0.99680584,3
29819,659.388,251.4298096,151.7986598,1.65633748,0.797180007,30224,194.8505324,0.789865438,0.986600053,0.861828517,0.774969892,0.008431866,0.001876043,0.600578334,0.994760404,3
33978,667.754,241.5791627,179.3886182,1.346680548,0.66977223,34287,207.9955126,0.757085561,0.990987838,0.957579146,0.860982836,0.00710987,0.002410013,0.741291443,0.998282767,3
25094,586.953,204.2226965,157.3683789,1.297736546,0.637352442,25457,178.7475123,0.736607274,0.985740661,0.915320321,0.875257821,0.008138308,0.00294617,0.766076253,0.99416515,3
