Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,0
30557,641.652,234.8875923,165.9899883,1.415070841,0.707534901,30827,197.2470045,0.761829968,0.991241444,0.932655968,0.839750633,0.007686867,0.002357928,0.705181126,0.997881249,3
48165,833.024,321.2918859,191.6179182,1.676731951,0.802688687,48695,247.6400264,0.695021645,0.989115926,0.872220723,0.7707634,0.006670651,0.00145222,0.594076219,0.996106578,6
74044,1048.432,388.726498,244.2241059,1.59167948,0.777997644,74909,307.0435618,0.745434411,0.988452656,0.846484871,0.789870419,0.005249939,0.001260542,0.623895279,0.993041313,2
47667,852.181,346.3471141,176.0819735,1.966965199,0.86112257,48256,246.3564681,0.628421136,0.987794264,0.824829129,0.711299324,0.007265973,0.001147316,0.505946728,0.995179607,4
27664,616.891,222.8562688,158.5669993,1.40543915,0.70266445,28011,187.6776459,0.716498316,0.98761201,0.91349878,0.842146586,0.008055822,0.002499427,0.709210872,0.996752726,3
56404,922.589,360.3630769,204.5914823,1.761378689,0.823209939,58033,267.9847072,0.710825457,0.971929764,0.832728107,0.743651956,0.006388963,0.001205283,0.553018232,0.974074529,4
52868,868.73,331.7295097,203.9644305,1.626408628,0.788642803,53418,259.4487006,0.678525592,0.989703845,0.880304874,0.782109198,0.006274675,0.00144824,0.611694797,0.994865696,6
82219,1080.269,417.2089157,252.364847,1.653197426,0.796310231,83108,323.549814,0.750365057,0.989303076,0.885356596,0.775510306,0.005074361,0.001132169,0.601416235,0.994259772,2
72515,1103.397,386.0047317,239.8623866,1.60927579,0.783495444,73844,303.8568176,0.698065075,0.9820026,0.748469517,0.787184178,0.005323102,0.001260811,0.619658931,0.997202115,0
36857,719.306,269.4644365,174.3779527,1.545289598,0.762381461,37216,216.6282297,0.774892776,0.990353611,0.895163737,0.80392141,0.007311079,0.001883717,0.646289633,0.998704647,3
36520,692.007,233.3318727,199.5817193,1.169104433,0.518041342,36852,215.6355912,0.796892729,0.990990991,0.958340093,0.924158319,0.006389153,0.002874806,0.854068598,0.998495384,5
80951,1107.182,395.5388204,261.61346,1.511920757,0.750024254,82239,321.0451906,0.779927355,0.984338331,0.829839396,0.81166544,0.004886151,0.001308142,0.658800786,0.996054583,0
38052,733.889,273.744548,177.2180557,1.544676398,0.762163328,38473,220.1120423,0.712264151,0.989057261,0.887823417,0.804078269,0.00719396,0.001854988,0.646541863,0.998697955,6
41863,763.785,281.5964769,190.2356431,1.480250874,0.737303951,42456,230.8714514,0.736609657,0.986032598,0.901774524,0.819866264,0.00672662,0.001874773,0.67218069,0.994996054,3
67194,1005.436,394.587499,218.724461,1.804039188,0.832309172,67865,292.4962529,0.647634285,0.990112724,0.835278873,0.741270957,0.005872362,0.001093706,0.549482631,0.9912882,2
60730,951.837,340.0269706,228.2420069,1.489765075,0.74123395,61724,278.071641,0.745748143,0.983896053,0.842341077,0.817792896,0.005598995,0.001544768,0.668785221,0.996332865,0
40398,724.683,252.2341418,204.023122,1.236301745,0.587995745,40714,226.7957917,0.792117647,0.992238542,0.96665963,0.899147871,0.006243728,0.002517377,0.808466895,0.999509033,5
26403,603.752,230.5788556,146.0777015,1.578467166,0.773721396,26707,183.3503305,0.704305378,0.988617216,0.910219164,0.795174085,0.008733055,0.002153748,0.632301826,0.998067671,3
85861,1127.125,453.4993532,243.2214479,1.8645533,0.84401378,86936,330.6382019,0.662236894,0.987634582,0.849301011,0.72908197,0.005281785,0.000920589,0.531560519,0.99112292,2
