dataset,size,model,balanced_accuracy,f1,precision,recall,training_time,model_size_kb
OnlineShoppers,1000,DecisionTree,0.7413246802824968,0.5691101938033916,0.6157799190057254,0.5548387096774194,0.01269669532775879,4.4775390625
OnlineShoppers,1000,RandomForest,0.7453139912196984,0.6150815850815852,0.7539398368042869,0.5225806451612903,0.6626410961151123,876.0595703125
OnlineShoppers,1000,ExtraTrees,0.6623592288604694,0.4684607606751186,0.7351282051282051,0.34838709677419355,0.7111978530883789,3066.755859375
OnlineShoppers,1000,GradientBoosting,0.7382133995037222,0.5887397464834823,0.6840492840492841,0.5225806451612903,0.7566504001617431,790.4599609375
OnlineShoppers,1000,XGBoost,0.7548768849016987,0.6034514637904468,0.6455665024630541,0.5677419354838709,0.13462419509887696,325.2197265625
OnlineShoppers,1000,LightGBM,0.7334224088566522,0.561246458641743,0.5923550858979112,0.5354838709677419,0.14905862808227538,681.6455078125
OnlineShoppers,1000,CatBoost,0.7710631799961825,0.6406604843268535,0.7100116205633448,0.5870967741935483,0.8081226825714112,202.5458984375
OnlineShoppers,3000,DecisionTree,0.745876775185503,0.5910054804530508,0.6545059674901855,0.543010752688172,0.03138885498046875,5.4150390625
OnlineShoppers,3000,RandomForest,0.7419905739477031,0.6091458220771282,0.7555994689750996,0.5151238896680692,0.6278773784637451,2397.7666015625
OnlineShoppers,3000,ExtraTrees,0.6846678793606279,0.5149356638081214,0.7805832518735745,0.3902290790088826,0.34029436111450195,7370.060546875
OnlineShoppers,3000,GradientBoosting,0.7578130336262386,0.6219329008798347,0.7075762119559525,0.5582047685834501,0.9621520042419434,839.9833984375
OnlineShoppers,3000,XGBoost,0.7642256947750325,0.6233106279452638,0.6754721778944968,0.5797101449275361,0.350386381149292,326.6123046875
OnlineShoppers,3000,LightGBM,0.7586288749371942,0.6203098297825564,0.6953459734955302,0.5625993454885461,0.2966759204864502,677.947265625
OnlineShoppers,3000,CatBoost,0.7661619917700001,0.6369061595541485,0.7203567637394107,0.5733286582515194,1.1660355567932128,202.6943359375
OnlineShoppers,9000,DecisionTree,0.7741508598468215,0.6367205314319611,0.6951072017784383,0.5986514014594776,0.04851036071777344,6.0400390625
OnlineShoppers,9000,RandomForest,0.765888763260369,0.6462138643883846,0.7542642409665237,0.5656945411412806,1.4920552253723145,6543.6865234375
OnlineShoppers,9000,ExtraTrees,0.7046683636095624,0.5575220703250137,0.7970401116996861,0.4293184806993115,0.8018407344818115,16967.2744140625
OnlineShoppers,9000,GradientBoosting,0.7807350950745954,0.6572849180588127,0.7211231278495949,0.6044583687888399,2.134579038619995,861.9296875
OnlineShoppers,9000,XGBoost,0.7795954150023476,0.657212611864525,0.7258866175715866,0.6008638250689771,0.512418794631958,333.6708984375
OnlineShoppers,9000,LightGBM,0.7818674306513846,0.6590436009247458,0.7224808654397402,0.6065908563471804,0.4257690906524658,677.8935546875
OnlineShoppers,9000,CatBoost,0.7849732186923823,0.6633569090610436,0.7238869199964647,0.6130656764910652,2.237453269958496,202.5927734375
Credit,1000,DecisionTree,0.5974790084467504,0.3492483660130719,0.5174867724867724,0.2668686868686868,0.014293766021728516,4.6337890625
Credit,1000,RandomForest,0.6015029952126726,0.3458931868609288,0.6697691197691198,0.24020202020202017,0.37101426124572756,1749.2900390625
Credit,1000,ExtraTrees,0.5862349299446074,0.3074507047036431,0.6417991056071551,0.2083838383838384,0.17734265327453613,2600.591796875
Credit,1000,GradientBoosting,0.6001647993583477,0.35372168814791766,0.5326655697243933,0.26707070707070707,0.8303124904632568,782.8955078125
Credit,1000,XGBoost,0.5848532471113117,0.32398567043285353,0.4745142425957366,0.24929292929292926,0.3012710094451904,325.7294921875
Credit,1000,LightGBM,0.6005561821690855,0.3558534831890259,0.5009972954699121,0.28070707070707074,0.2229769229888916,672.833984375
Credit,1000,CatBoost,0.5987773516805774,0.34666995953334023,0.5302538570287049,0.26303030303030306,0.9115123748779297,137.953125
Credit,3000,DecisionTree,0.6215876679389584,0.39891994450458956,0.6025003655268849,0.30007974481658695,0.031267213821411136,4.4775390625
Credit,3000,RandomForest,0.6345852355065699,0.4250271716954967,0.6424057754607387,0.31966279334700387,1.2796297550201416,4933.865234375
Credit,3000,ExtraTrees,0.6298255990975477,0.4144642338159631,0.6443713769243068,0.30757575757575756,0.3517124652862549,7230.3994140625
