dataset,imbalance_ratio,model,balanced_accuracy,f1,precision,recall,training_time,model_size_kb
OnlineShoppers,1,DecisionTree,0.8486111111111111,0.8476758490450724,0.8529727443516952,0.8427777777777777,0.06545038223266601,6.0400390625
OnlineShoppers,1,RandomForest,0.856111111111111,0.8560213943941548,0.8565069551296549,0.8555555555555555,0.7582712173461914,3952.302734375
OnlineShoppers,1,ExtraTrees,0.8338888888888889,0.8381427626738264,0.8170289082711184,0.8605555555555556,0.37404422760009765,11841.3369140625
OnlineShoppers,1,GradientBoosting,0.851388888888889,0.850346263865433,0.8563626471706375,0.8444444444444444,1.2305379390716553,839.693359375
OnlineShoppers,1,XGBoost,0.8508333333333333,0.8504299248980649,0.8525830056553682,0.8483333333333333,0.21256370544433595,330.396484375
OnlineShoppers,1,LightGBM,0.8491666666666667,0.8499280183021616,0.8450735389337931,0.8549999999999999,0.24684414863586426,677.466796875
OnlineShoppers,1,CatBoost,0.8558333333333333,0.8531478777576581,0.8692026512460256,0.8377777777777776,1.402938175201416,202.3271484375
OnlineShoppers,4,DecisionTree,0.775173611111111,0.6598893463822458,0.7208560582738786,0.6097222222222223,0.021406126022338868,6.0400390625
OnlineShoppers,4,RandomForest,0.7713541666666667,0.6592972435817036,0.74547320280996,0.5944444444444444,0.5268527507781983,3184.90625
OnlineShoppers,4,ExtraTrees,0.7215277777777778,0.5914477372414575,0.7867599868275414,0.4763888888888889,0.3617072582244873,9497.7431640625
OnlineShoppers,4,GradientBoosting,0.7746527777777776,0.6597754723799379,0.7237723459194385,0.6083333333333333,1.1750308990478515,842.65234375
OnlineShoppers,4,XGBoost,0.7756944444444445,0.6599308031992626,0.7197407048620512,0.6125,0.19515080451965333,325.1474609375
OnlineShoppers,4,LightGBM,0.778125,0.6645018601326016,0.726406747285483,0.6152777777777778,0.23315730094909667,677.8232421875
OnlineShoppers,4,CatBoost,0.7920138888888889,0.684143414869493,0.7342931010427028,0.6430555555555556,1.163035249710083,202.7333984375
OnlineShoppers,9,DecisionTree,0.6998456790123457,0.5042327205404187,0.6479246232962923,0.42777777777777776,0.03133854866027832,5.8837890625
OnlineShoppers,9,RandomForest,0.6847222222222221,0.5082755838416215,0.757686552353735,0.3833333333333333,0.537030553817749,2340.1015625
OnlineShoppers,9,ExtraTrees,0.6273148148148148,0.39132152569874534,0.7613082569604309,0.2638888888888889,0.33800034523010253,7259.6005859375
OnlineShoppers,9,GradientBoosting,0.7169753086419753,0.545446328844974,0.6790698287220026,0.4583333333333333,0.9836716651916504,841.5302734375
OnlineShoppers,9,XGBoost,0.7214506172839507,0.5383743698624087,0.6227402569177933,0.475,0.30312652587890626,327.6806640625
OnlineShoppers,9,LightGBM,0.7243827160493828,0.5486923611327132,0.6481794871794871,0.47777777777777775,0.2315540313720703,679.4423828125
OnlineShoppers,9,CatBoost,0.7225308641975309,0.549342907465113,0.6589795918367346,0.4722222222222222,1.2173861503601073,202.8583984375
Credit,1,DecisionTree,0.6894444444444444,0.6502108415964275,0.7456956392844891,0.578888888888889,0.03155131340026855,5.5712890625
Credit,1,RandomForest,0.7055555555555555,0.6869338525955893,0.7338335758253243,0.6461111111111111,1.150043773651123,7504.6171875
Credit,1,ExtraTrees,0.7111111111111111,0.6898243463039524,0.7444630543206329,0.6427777777777777,0.35487051010131837,9547.7431640625
Credit,1,GradientBoosting,0.6980555555555555,0.6855311359694601,0.7154707484196194,0.6583333333333334,1.6205440521240235,857.1748046875
