dataset,imbalance_ratio,model,balanced_accuracy,macro_f1,macro_precision,macro_recall,training_time,model_size_kb
DryBean,1,DecisionTree,0.9075303907970955,0.9073853803710008,0.9077517927154514,0.9075303907970955,0.19874777793884277,26.1181640625
DryBean,1,RandomForest,0.9280982295830954,0.9281015897111832,0.9287044722657418,0.9280982295830954,1.4929890155792236,2718.986328125
DryBean,1,ExtraTrees,0.929759865111093,0.9296978549535545,0.9300079038982352,0.929759865111093,0.5710160255432128,19770.7705078125
DryBean,1,GradientBoosting,0.9350439204808139,0.9350477738299942,0.9355657350547798,0.9350439204808139,16.477671957015993,5257.171875
DryBean,1,XGBoost,0.9325446683527779,0.9325837920630946,0.9330545318841491,0.9325446683527779,1.370107936859131,1398.3134765625
DryBean,1,LightGBM,0.9325555464904408,0.9324653759077266,0.9328506896706517,0.9325555464904408,1.4863345623016357,3355.408203125
DryBean,1,CatBoost,0.9380925185608223,0.938142364752893,0.9386256036169488,0.9380925185608223,6.205502557754516,656.0263671875
DryBean,4,DecisionTree,0.9019597040296926,0.9020696339704187,0.9050521649917884,0.9019597040296926,0.06807065010070801,29.8681640625
DryBean,4,RandomForest,0.9270945784105097,0.928269649819914,0.9302515008555126,0.9270945784105097,1.5049523830413818,2953.6953125
DryBean,4,ExtraTrees,0.926905651453233,0.9284560821278379,0.9307291572420704,0.926905651453233,0.584401798248291,20950.1455078125
DryBean,4,GradientBoosting,0.9313106770461597,0.9332482619210314,0.9360717439097165,0.9313106770461597,16.50401177406311,5234.7421875
DryBean,4,XGBoost,0.9315392261198419,0.9328501621811567,0.9348292280462271,0.9315392261198419,1.4561152458190918,1425.7978515625
DryBean,4,LightGBM,0.932055270257121,0.9328266915605712,0.9342456429047186,0.932055270257121,1.4658997535705567,3603.33984375
DryBean,4,CatBoost,0.9426144580172776,0.9434515290788411,0.9450215209352928,0.9426144580172776,5.969929218292236,656.0732421875
DryBean,9,DecisionTree,0.9008704975370616,0.9024507498431007,0.9058365361939004,0.9008704975370616,0.0706449031829834,28.6962890625
DryBean,9,RandomForest,0.9265924956419168,0.9280392110651571,0.9304908516555411,0.9265924956419168,1.4987617015838623,3010.4404296875
DryBean,9,ExtraTrees,0.9221056002311399,0.9243273618321393,0.9276524266756494,0.9221056002311399,0.585559606552124,21660.3017578125
DryBean,9,GradientBoosting,0.9283987230401577,0.9301982483761531,0.9326370074889608,0.9283987230401577,16.625760889053346,5281.5380859375
DryBean,9,XGBoost,0.9283315298045725,0.929508415101808,0.9313889444119738,0.9283315298045725,1.4775909900665283,1427.9189453125
DryBean,9,LightGBM,0.9303509363908127,0.9313108054606642,0.9329511662647085,0.9303509363908127,1.670401668548584,3626.7978515625
DryBean,9,CatBoost,0.9389440146037419,0.9388979349351458,0.9396829790388341,0.9389440146037419,5.92589807510376,656.0341796875
Retail,1,DecisionTree,0.675,0.6766375834733631,0.6798118025995147,0.675,0.06603317260742188,54.66796875
Retail,1,RandomForest,0.7341666666666666,0.7364591767039335,0.743810183284774,0.7341666666666666,2.8877092361450196,18785.40234375
Retail,1,ExtraTrees,0.7166666666666667,0.716698365742992,0.7178557127713294,0.7166666666666667,0.8750587940216065,42112.142578125
Retail,1,GradientBoosting,0.7333333333333334,0.7358406146810542,0.7415652962146464,0.7333333333333334,7.254981994628906,3325.0625
Retail,1,XGBoost,0.7325000000000002,0.7348676913530248,0.7404423226022047,0.7325000000000002,0.719292402267456,1330.353515625
Retail,1,LightGBM,0.7258333333333333,0.7281719457714345,0.7330658644997866,0.7258333333333333,1.0428558349609376,2675.9306640625
Retail,1,CatBoost,0.7472222222222221,0.7491199589335691,0.7544572755590232,0.7472222222222221,2.355316734313965,429.5654296875
Retail,4,DecisionTree,0.6666365346863844,0.6687935069472267,0.6725040482438992,0.6666365346863844,0.04561347961425781,59.54296875
Retail,4,RandomForest,0.722295325664476,0.7385721312075011,0.7607076179931556,0.722295325664476,2.852993965148926,19378.74609375
Retail,4,ExtraTrees,0.675903686579135,0.6913442744066718,0.7184678587872577,0.675903686579135,1.0289242267608643,43246.1396484375
Retail,4,GradientBoosting,0.7256553619322221,0.7398387390443758,0.7580124590959423,0.7256553619322221,7.15952091217041,3276.67578125
Retail,4,XGBoost,0.7271382671205155,0.7401357268352152,0.7564620036221674,0.7271382671205155,0.7902679443359375,1334.89453125
Retail,4,LightGBM,0.7202461658646581,0.7343437407576932,0.7520419475656721,0.7202461658646581,0.9231417655944825,2677.849609375
Retail,4,CatBoost,0.7276409992153899,0.7391787363738066,0.7542688936258445,0.7276409992153899,2.4014087200164793,429.5810546875
Retail,9,DecisionTree,0.6561814941224231,0.664589704962576,0.676179449134933,0.6561814941224231,0.04495081901550293,55.04296875
Retail,9,RandomForest,0.6882717192700121,0.7185508139955081,0.7656978271380019,0.6882717192700121,2.8449695110321045,19212.328125
Retail,9,ExtraTrees,0.6304825261470456,0.6652473719911408,0.7444581918252079,0.6304825261470456,0.9179209232330322,42260.6044921875
Retail,9,GradientBoosting,0.6937142556866183,0.7192524107308123,0.7568923676238948,0.6937142556866183,7.3050854206085205,3242.591796875
Retail,9,XGBoost,0.6978716265180587,0.7185572378970785,0.7460017791447006,0.6978716265180587,0.9060503005981445,1321.083984375
Retail,9,LightGBM,0.6989932641110123,0.720939809968751,0.7507181306260484,0.6989932641110123,0.9803091049194336,2680.4697265625
Retail,9,CatBoost,0.7059954920018493,0.7303085651066958,0.7635624833338899,0.7059954920018493,2.3857048988342284,429.7685546875
